ID,Code,LongDescription
643,"11040",""
644,"1110F","Pt lft inpt fac w/in 60 days"
645,"1111F","Dschrg med/current med merge"
646,"1116F","Auric/peri pain assessed"
647,"1118F","GERD symps assessed 12 month"
648,"1119F","Init eval for condition"
649,"11201","Remove skin tags add-on"
650,"1121F","Subs eval for condition"
651,"1123F","Acp discuss/dscn mkr docd"
652,"1124F","Acp discuss-no dscnmkr docd"
653,"1125F","Amnt pain noted pain prsnt"
654,"1126F","Amnt pain noted none prsnt"
655,"11302","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
656,"11303","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm"
657,"11305","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
658,"11306","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
659,"11312","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
660,"11313","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm"
661,"11307","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
662,"1134F","Epsd bk pain for =< 6 wks"
663,"1135F","Epsd bk pain for > 6 wks"
664,"1136F","Epsd bk pain for <= 12 wks"
665,"1137F","Epsd bk pain for > 12 wks"
666,"11400","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
667,"11401","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
668,"11402","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
669,"11403","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
670,"11404","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
671,"11406","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
672,"11420","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
673,"1127F","New episode for condition (NMA-No Measure Associated)"
674,"1128F","Subsequent episode for condition (NMA-No Measure Associated)"
675,"11300","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less"
676,"11301","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
677,"11308","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm"
678,"11310","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
679,"11311","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
680,"11421","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
681,"11601","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.6 to 1.0 cm"
682,"11602","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm"
683,"11422","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
684,"11423","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
685,"11424","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
686,"1160F","Rvw meds by rx/dr in rcrd"
687,"11426","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
688,"11440","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less"
689,"11441","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm"
690,"11442","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm"
691,"11443","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm"
692,"11444","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm"
693,"11446","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm"
694,"11450","Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair"
695,"11451","Excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair"
696,"11462","Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair"
697,"11463","Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair"
698,"11470","Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair"
699,"1170F","Fxnl status assessed"
700,"11471","Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair"
701,"1150F","Doc pt rsk death w/in 1yr"
702,"1151F","Doc no pt rsk death w/in 1yr"
703,"1152F","Doc advncd dis comfort 1st"
704,"1153F","Doc advncd dis cmfrt not 1st"
705,"1157F","Advnc care plan in rcrd"
706,"1158F","Advnc care plan tlk docd"
707,"1159F","Med list docd in rcrd"
708,"11600","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less"
709,"11603","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
710,"11760","Repair of nail bed"
711,"11762","Reconstruction of nail bed with graft"
712,"11765","Wedge excision of skin of nail fold (eg, for ingrown toenail)"
713,"11770","Excision of pilonidal cyst or sinus; simple"
714,"11771","Excision of pilonidal cyst or sinus; extensive"
715,"11772","Excision of pilonidal cyst or sinus; complicated"
716,"11604","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm"
717,"1181F","Neuropsychiatric symptoms assessed and results reviewed (DEM)"
718,"1182F","Neuropsychiatric symptoms, one or more present (DEM)"
719,"1183F","Neuropsychiatric symptoms, absent (DEM)"
720,"11900","Injection, intralesional; up to and including 7 lesions"
721,"11901","Injection, intralesional; more than 7 lesions"
722,"11920","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less"
723,"11921","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm"
724,"11922","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"
725,"11950","Subcutaneous injection of filling material (eg, collagen); 1 cc or less"
726,"11951","Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc"
727,"11952","Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc"
728,"11954","Subcutaneous injection of filling material (eg, collagen); over 10.0 cc"
729,"11960","Insertion of tissue expander(s) for other than breast, including subsequent expansion"
730,"11970","Replacement of tissue expander with permanent prosthesis"
731,"11971","Removal of tissue expander(s) without insertion of prosthesis"
732,"11606","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm"
733,"11976","Removal, implantable contraceptive capsules"
734,"11620","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
735,"11621","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
736,"11622","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
737,"11623","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
738,"11624","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
739,"11626","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
740,"11640","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less"
741,"11641","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm"
742,"11642","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm"
743,"11643","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm"
744,"11644","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm"
745,"11646","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm"
746,"11719","Trimming of nondystrophic nails, any number"
747,"11720","Debridement of nail(s) by any method(s); 1 to 5"
748,"11721","Debridement of nail(s) by any method(s); 6 or more"
749,"11730","Avulsion of nail plate, partial or complete, simple; single"
750,"11732","Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)"
751,"11740","Evacuation of subungual hematoma"
752,"11750","Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;"
753,"11752","Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal; with amputation of tuft of distal phalanx"
754,"11755","Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)"
755,"1175F","Functional status for dementia assessed and results reviewed (DEM)"
756,"1180F","Thromboemb risk assessed"
757,"11975","Insert contraceptive cap"
758,"11977","Removal/reinsert contra cap"
759,"11980","Subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)"
760,"11981","Insertion, non-biodegradable drug delivery implant"
761,"11982","Removal, non-biodegradable drug delivery implant"
762,"11983","Removal with reinsertion, non-biodegradable drug delivery implant"
763,"12001","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
764,"12002","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm"
765,"12004","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
766,"12005","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
767,"12006","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
768,"12007","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm"
769,"1200F","Seizure type(s) and current seizure frequency(ies) documented (EPI)"
770,"12011","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
771,"12013","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
772,"12014","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
773,"12015","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
774,"12016","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
775,"12017","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm"
776,"13100","Repair, complex, trunk; 1.1 cm to 2.5 cm"
777,"13101","Repair, complex, trunk; 2.6 cm to 7.5 cm"
778,"13102","Repair, complex, trunk; each additional 5 cm or less (List separately in addition to code for primary procedure)"
779,"13120","Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm"
780,"12018","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm"
781,"12020","Treatment of superficial wound dehiscence; simple closure"
782,"12021","Treatment of superficial wound dehiscence; with packing"
783,"12031","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less"
784,"12032","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
785,"12034","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
786,"12035","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
787,"12036","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm"
788,"12037","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm"
789,"12041","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less"
790,"12042","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm"
791,"12044","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm"
792,"12045","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm"
793,"12046","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm"
794,"12047","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; over 30.0 cm"
795,"12051","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
796,"12052","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
797,"12053","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
798,"12054","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
799,"12055","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
800,"12056","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm"
801,"12057","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm"
802,"1205F","Etiology of epilepsy or epilepsy syndrome(s) reviewed and documented (EPI)"
803,"1220F","Patient screened for depression (SUD)"
804,"13151","Repair, complex, eyelids, nose, ears and/or lips; 1.1 cm to 2.5 cm"
805,"13152","Repair, complex, eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm"
806,"13153","Repair, complex, eyelids, nose, ears and/or lips; each additional 5 cm or less (List separately in addition to code for primary procedure)"
807,"13160","Secondary closure of surgical wound or dehiscence, extensive or complicated"
808,"14000","Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less"
809,"14001","Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm"
810,"1400F","Parkinson's disease diagnosis reviewed (Prkns)"
811,"14020","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"
812,"14021","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm"
813,"14040","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less"
814,"14041","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm"
815,"14060","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less"
816,"14061","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm"
817,"14301","Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm"
818,"14302","Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"
819,"14350","Filleted finger or toe flap, including preparation of recipient site"
820,"13121","Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm"
821,"13122","Repair, complex, scalp, arms, and/or legs; each additional 5 cm or less (List separately in addition to code for primary procedure)"
822,"13131","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm"
823,"13132","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm"
824,"13133","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure)"
825,"13150","Repair, complex, eyelids, nose, ears and/or lips; 1.0 cm or less"
826,"1460F","Qualifying cardiac event/diagnosis in previous 12 months (CAD)"
827,"15130","Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
828,"15131","Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
829,"15135","Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
830,"15136","Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
831,"15150","Tissue cultured skin autograft, trunk, arms, legs; first 25 sq cm or less"
832,"15151","Tissue cultured skin autograft, trunk, arms, legs; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)"
833,"15152","Tissue cultured skin autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
834,"15155","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 25 sq cm or less"
835,"15156","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; additional 1 sq cm to 75 sq cm (List separately in addition to code for primary procedure)"
836,"15157","Tissue cultured skin autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
837,"1461F","No qualifying cardiac event/diagnosis in previous 12 months (CAD)"
838,"1490F","Dementia severity classified, mild (DEM)"
839,"1491F","Dementia severity classified, moderate (DEM)"
840,"1493F","Dementia severity classified, severe (DEM)"
841,"15200","Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less"
842,"15201","Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
843,"15220","Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less"
844,"15221","Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
845,"1494F","Cognition assessed and reviewed (DEM)"
846,"15000","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture; first 100 sq cm or one percent of body area of infants and children"
847,"15001","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture; each additional 100 sq cm or each additional one percent of body area of infants and children (List separately in addition to code for primary procedure)"
848,"15002","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; first 100 sq cm or 1% of body area of infants and children"
849,"15003","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, trunk, arms, legs; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)"
850,"15004","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; first 100 sq cm or 1% of body area of infants and children"
851,"15005","Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or multiple digits; each additional 100 sq cm, or part thereof, or each additional 1% of body area of infants and children (List separately in addition to code for primary procedure)"
852,"15040","Harvest of skin for tissue cultured skin autograft, 100 sq cm or less"
853,"14300","Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area"
854,"15050","Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size 2 cm diameter"
855,"15100","Split-thickness autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
856,"15101","Split-thickness autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
857,"1450F","Symptoms improved or remained consistent with treatment goals since last assessment (HF)"
858,"1451F","Symptoms demonstrated clinically important deterioration since last assessment (HF)"
859,"15110","Epidermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
860,"15111","Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
861,"15115","Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
862,"15116","Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition tocode for primary procedure)"
863,"15120","Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children (except 15050)"
864,"15121","Split-thickness autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
865,"15170","Acell graft trunk/arms/legs"
866,"15341","Apply cult skin sub add-on"
867,"15360","Apply cult derm sub t/a/l"
868,"15361","Aply cult derm sub t/a/l add"
869,"15365","Apply cult derm sub f/n/hf/g"
870,"15366","Apply cult derm f/hf/g add"
871,"15400","Apply skin xenograft t/a/l"
872,"15401","Apply skn xenogrft t/a/l add"
873,"15420","Apply skin xgraft f/n/hf/g"
874,"15421","Apply skn xgrft f/n/hf/g add"
875,"15430","Apply acellular xenograft"
876,"15431","Apply acellular xgraft add"
877,"15171","Acell graft t/arm/leg add-on"
878,"15175","Acellular graft f/n/hf/g"
879,"15176","Acell graft f/n/hf/g add-on"
880,"15300","Apply skinallogrft t/arm/lg"
881,"15301","Apply sknallogrft t/a/l addl"
882,"15320","Apply skin allogrft f/n/hf/g"
883,"15321","Aply sknallogrft f/n/hfg add"
884,"15330","Aply acell alogrft t/arm/leg"
885,"15331","Aply acell grft t/a/l add-on"
886,"15335","Apply acell graft f/n/hf/g"
887,"15336","Aply acell grft f/n/hf/g add"
888,"15340","Apply cult skin substitute"
889,"15570","Formation of direct or tubed pedicle, with or without transfer; trunk"
890,"15572","Formation of direct or tubed pedicle, with or without transfer; scalp, arms, or legs"
891,"15574","Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet"
892,"15576","Formation of direct or tubed pedicle, with or without transfer; eyelids, nose, ears, lips, or intraoral"
893,"15240","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less"
894,"15241","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
895,"15260","Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less"
896,"15261","Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
897,"15271","Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
898,"15272","Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
899,"15273","Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"
900,"15274","Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
901,"15275","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"
902,"15276","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"
903,"15277","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body areaof infants and children"
904,"15278","Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
905,"15600","Delay of flap or sectioning of flap (division and inset); at trunk"
906,"15738","Muscle, myocutaneous, or fasciocutaneous flap; lower extremity"
907,"15740","Flap; island pedicle"
908,"15750","Flap; neurovascular pedicle"
909,"15756","Free muscle or myocutaneous flap with microvascular anastomosis"
910,"15757","Free skin flap with microvascular anastomosis"
911,"15758","Free fascial flap with microvascular anastomosis"
912,"15760","Graft; composite (eg, full thickness of external ear or nasal ala), including primary closure, donor area"
913,"15770","Graft; derma-fat-fascia"
914,"15775","Punch graft for hair transplant; 1 to 15 punch grafts"
915,"15776","Punch graft for hair transplant; more than 15 punch grafts"
916,"15777","Implantation of biologic implant (eg, acellular dermal matrix) for soft tissue reinforcement (eg, breast, trunk) (List separately in addition to code for primary procedure)"
917,"15780","Dermabrasion; total face (eg, for acne scarring, fine wrinkling, rhytids, general keratosis)"
918,"15781","Dermabrasion; segmental, face"
919,"15782","Dermabrasion; regional, other than face"
920,"15783","Dermabrasion; superficial, any site (eg, tattoo removal)"
921,"15830","Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy"
922,"15786","Abrasion; single lesion (eg, keratosis, scar)"
923,"15832","Excision, excessive skin and subcutaneous tissue (includes lipectomy); thigh"
924,"15833","Excision, excessive skin and subcutaneous tissue (includes lipectomy); leg"
925,"15834","Excision, excessive skin and subcutaneous tissue (includes lipectomy); hip"
926,"15835","Excision, excessive skin and subcutaneous tissue (includes lipectomy); buttock"
